CPU Name,BrandBenchmark Score,Price
AMD Ryzen Threadripper 7980X,AMD,25521,$4999
AMD Ryzen Threadripper PRO 7995WX,AMD,24672,n/a
AMD Ryzen Threadripper 7970X,AMD,21524,$2499
AMD Ryzen Threadripper PRO 5995WX,AMD,19947,n/a
AMD Ryzen Threadripper 7960X,AMD,19188,$1499
Intel Core Ultra 9 Processor 285K,Intel,18784,n/a
AMD Ryzen Threadripper 3990X,AMD,17897,$3990
AMD Ryzen 9 9950X,AMD,16856,$649
Intel Core Ultra 7 Processor 265K,Intel,16614,n/a
AMD Ryzen Threadripper 3970X,AMD,16610,$1999
Intel Core i9-13900KS Processor,Intel,16477,$699
Intel Core i9 processor 14900KS,Intel,16431,$749
Intel Core i9 processor 14900K,Intel,16252,$589
Intel Core i9 processor 14900KF,Intel,16088,$564
Intel Core i9-13900K Processor,Intel,15954,$589
Intel Core i9-13900KF Processor,Intel,15770,$569
AMD Ryzen 9 7950X,AMD,15686,$699
Intel Core i9 processor 14900,Intel,15266,$549
Intel Core i9-13900 Processor,Intel,14575,$549
Intel Core i7 processor 14700K,Intel,14492,$409
Intel Core i7 processor 14700KF,Intel,14487,n/a
AMD Ryzen 9 7950X3D,AMD,14290,$699
AMD Ryzen 9 9900X,AMD,14233,$449
Intel Core i9-13900F Processor,Intel,14166,$524
Intel Core i9 processor 14900F,Intel,14008,$524
AMD Ryzen Threadripper 3960X,AMD,13972,$1399
AMD Ryzen 9 7945HX,AMD,13727,n/a
Intel Core i7 processor 14700,Intel,13558,n/a
AMD Ryzen 9 7940HX,AMD,13479,n/a
AMD Ryzen 9 7945HX3D,AMD,12957,n/a
Intel Core i7 processor 14700F,Intel,12844,n/a
Intel Core i9 processor 14900HX,Intel,12648,$679
AMD Ryzen 9 7900X,AMD,12637,$549
Intel Core i9-13980HX Processor,Intel,12568,n/a
Intel Core i7-13700K Processor,Intel,12520,$409
Intel Core i7-13700KF Processor,Intel,12514,$389
Intel Core i9-13950HX Processor,Intel,12184,n/a
Intel Core i9-12900KS Processor,Intel,12034,$739
Intel Core i7-13700 Processor,Intel,11856,n/a
Intel Core i9-13900HX Processor,Intel,11735,n/a
Intel Core i9-12900K Processor,Intel,11648,$599
Intel Core i9-12900KF Processor,Intel,11615,$569
AMD Ryzen 9 5950X,AMD,11613,$799
AMD Ryzen 9 7900X3D?,AMD,11539,n/a
Intel Core i7-13700F Processor,Intel,11255,n/a
AMD Ryzen 9 7845HX,AMD,11242,n/a
AMD Ryzen 9 5900XT,AMD,11186,n/a
AMD Ryzen 9 7900,AMD,11047,n/a
Intel Core i9-12900F Processor,Intel,11004,$525
AMD Ryzen 9 3950X,AMD,10728,$749
Intel Core i9-10980XE Extreme Edition Processor,Intel,10599,$979
Intel Core i5 processor 14600KF,Intel,10546,n/a
Intel Core i5 processor 14600K,Intel,10532,n/a
Intel Core i5-13600KF Processor,Intel,10260,$299
Intel Core i5-13600K Processor,Intel,10236,$319
AMD Ryzen 9 5900X,AMD,10106,$549
AMD Ryzen 7 9800X3D,AMD,10075,n/a
Intel Core i7-12700K Processor,Intel,9997,$409
Intel Core i7-12700KF Processor,Intel,9996,$389
Intel Core i7 processor 14650HX,Intel,9908,n/a
AMD Ryzen AI 9 HX 370,AMD,9824,n/a
AMD Ryzen 7 9700X,AMD,9556,n/a
Intel Core i7-12700 Processor,Intel,9465,$349
Intel Core i7-12700F Processor,Intel,9440,$319
Intel Core i9-12900HX Processor,Intel,9308,n/a
Intel Core i5 processor 14500,Intel,9296,n/a
Intel Core i7-12800HX Processor,Intel,9111,n/a
Intel Core i7-13700HX Processor,Intel,9068,n/a
Intel Core i5-13500 Processor,Intel,9047,n/a
Intel Core i9-10900K Processor,Intel,8935,$488
Intel Core i9-10900KF Processor,Intel,8928,$463
AMD Ryzen 7 7700X,AMD,8904,$399
Intel Core i9-10850K Processor,Intel,8779,$453
Intel Core i7-13650HX Processor,Intel,8779,n/a
AMD Ryzen 9 3900XT,AMD,8532,$499
AMD Ryzen 7 7700,AMD,8515,n/a
Intel Core i9-11900KF Processor,Intel,8347,$513
Intel Core i9-11900K Processor,Intel,8346,$539
Intel Core i9-10900F Processor,Intel,8184,$422
Intel Core i9-10900 Processor,Intel,8122,$440
Intel Core i7-11700K Processor,Intel,8104,$399
Intel Core i7-11700KF Processor,Intel,8070,$374
Intel Core i9-11900F Processor,Intel,8070,n/a
Intel Core i5-13500HX Processor,Intel,8016,n/a
AMD Ryzen 9 5900,AMD,7999,n/a
Intel Core i5-12600K Processor,Intel,7984,$289
AMD Ryzen 7 7800X3D,AMD,7980,n/a
AMD Ryzen 7 8700G,AMD,7978,n/a
AMD Ryzen 7 7745HX,AMD,7976,n/a
Intel Core i5-12600KF Processor,Intel,7960,$269
AMD Ryzen 9 3900,AMD,7883,n/a
AMD Ryzen 7 8700F,AMD,7856,n/a
Intel Core Ultra 9 processor 185H,Intel,7852,n/a
AMD Ryzen 9 8945HS,AMD,7791,n/a
Intel Core i9-13900H Processor,Intel,7751,n/a
AMD Ryzen 7 8845H,AMD,7747,n/a
Intel Core i9-11900KB Processor,Intel,7684,n/a
AMD Ryzen 9 7940HS,AMD,7677,n/a
Intel Core i7-11700 Processor,Intel,7639,$323
Intel Core i7-13700H Processor,Intel,7637,n/a
AMD Ryzen 5 9600X,AMD,7599,n/a
AMD Ryzen 7 5800X,AMD,7595,$449
Intel Core i5-13490F Processor,Intel,7553,n/a
AMD Ryzen 7 7840H,AMD,7497,n/a
Intel Core i7-11700F Processor,Intel,7486,$298
Intel Core i7-13620H Processor,Intel,7442,n/a
AMD Ryzen 7 8845HS,AMD,7417,n/a
Intel Core i5 processor 14400F,Intel,7405,n/a
Intel Core i9-10900X X-series Processor,Intel,7378,$590
Intel Core i9-9900KS Processor,Intel,7373,$524
AMD Ryzen 7 7840HS,AMD,7364,n/a
Intel Core i5-13400F Processor,Intel,7320,n/a
Intel Core i5-13400 Processor,Intel,7319,n/a
AMD Ryzen 7 5800X3D,AMD,7298,n/a
Intel Core i7-10700K Processor,Intel,7263,$374
Intel Core i7-10700KF Processor,Intel,7252,$349
