Name,BrandScore,Price
MSI MEG Z690 Godlike,MSI,88,2218
MSI MEG X670E Godlike,MSI,81,1974
ASRock Z690 Aqua OC,ASRock,84,1717
MSI MEG X870E Godlike,MSI,90,1680
Gigabyte Z890 Aorus Xtreme AI Top,Gigabyte,79,1664
Asus Pro WS WRX90E-Sage SE,Asus,91,1633
Asus ROG Maximus Z890 Extreme,Asus,87,1575
MSI MEG Z790 Godlike Max,MSI,93,1542
ASRock WRX90 WS Evo,ASRock,76,1440
Asus ROG Maximus Z790 Extreme,Asus,94,1435
Asus Pro WS W790E-Sage SE,Asus,84,1333
ASRock Z690 Aqua,ASRock,84,1317
Asus ROG Crosshair X670E Extreme,Asus,87,1180
Gigabyte Z790 Aorus Xtreme,Gigabyte,78,1168
Gigabyte TRX50 AI Top,Gigabyte,91,1167
Asus ROG Strix TRX40-E Gaming,Asus,74,1152
Asus Pro WS TRX50-Sage WiFi,Asus,81,1106
Gigabyte Z690 Aorus Xtreme,Gigabyte,88,1083
Asus ROG Strix Z690-F Gaming WiFi,Asus,81,1062
Asus ROG Maximus Z790 Apex,Asus,84,1057
Gigabyte Z890 Aorus Master AI Top,Gigabyte,85,1038
ASRock Z890 Taichi Aqua,ASRock,93,994
Gigabyte TRX50 Aero D,Gigabyte,85,933
EVGA Z690 Dark Kingpin,EVGA,64,921
Asus ROG Maximus Z790 Hero Eva-02 Edition,Asus,90,908
MSI MEG Z890 Ace,MSI,10,894
MSI MEG X670E Ace,MSI,80,881
MSI MPG Z690 Carbon EK X,MSI,80,878
Gigabyte Aorus X670E Xtreme,Gigabyte,87,871
MSI MEG Z790 Godlike,MSI,87,871
Asus ROG Maximus Z790 Hero BTF,Asus,90,871
MSI MEG Z390 Godlike,MSI,70,870
Asus ROG Maximus Z890 Apex,Asus,93,861
Asus ROG Maximus Z890 Hero,Asus,89,861
Asus ROG Maximus Z790 Formula,Asus,92,860
MSI Z370-A Pro,MSI,47,859
MSI MEG Z890 Unify-X,MSI,91,837
MSI MEG Z790 Ace Max,MSI,92,836
EVGA Z790 Classified,EVGA,84,826
Asus ROG Maximus Z790 Dark Hero,Asus,90,823
Asus ROG Maximus Z690 Formula,Asus,93,821
Biostar Z690 Valkyrie,Biostar,74,819
EVGA X570 Dark,EVGA,74,816
Asus ROG Crosshair X870E Hero,Asus,88,799
Asus ROG Crosshair VIII Extreme,Asus,82,795
Asus ROG Maximus Z790 Apex Encore,Asus,86,781
Asus ProArt Z690-Creator WiFi,Asus,88,781
Gigabyte Z790 Aorus Tachyon X,Gigabyte,82,774
Gigabyte Z890 AI Top,Gigabyte,85,771
Asus ROG Crosshair X670E Gene,Asus,70,767
Asus ROG Crosshair VIII Formula,Asus,84,763
Asus ProArt Z890-Creator WiFi,Asus,79,751
MSI MEG Z690 Ace,MSI,87,748
MSI MPG X570 Gaming Edge Wi-Fi,MSI,70,740
EVGA Z490 Dark Kingpin,EVGA,81,726
Asus ROG Crosshair X670E Hero,Asus,87,725
Gigabyte Z890 Aorus Master,Gigabyte,88,692
Asus ROG Strix Z890-E Gaming WiFi,Asus,94,667
MSI MEG Z790 Ace,MSI,89,647
Gigabyte Z690 Aorus Tachyon,Gigabyte,80,644
Gigabyte X870E Aorus Master,Gigabyte,92,638
ASRock X670E Taichi Carrara,ASRock,82,636
EVGA Z690 Classified,EVGA,69,630
Asus Pro WS W680M-Ace SE,Asus,50,630
ASRock X870E Taichi,ASRock,88,628
MSI MPG Z890 Carbon WiFi,MSI,92,628
MSI MEG Z690 Unify-X,MSI,82,620
EVGA X570 FTW WiFi,EVGA,77,612
ASRock X670E Taichi,ASRock,80,610
ASRock Z690 Taichi Razer Edition,ASRock,74,606
Asus ROG Maximus Z790 Hero,Asus,91,600
Asus ROG Maximus Z690 Hero EVA Edition,Asus,90,600
ASRock Z790 Taichi,ASRock,86,598
Asus ROG Strix X870E-E Gaming WiFi,Asus,94,594
Asus ROG Strix Z890-I Gaming WiFi,Asus,63,590
MSI MPG Z790 Carbon Max WiFi,MSI,85,588
ASRock Z790 Taichi Carrara,ASRock,87,584
Asus ProArt Z790-Creator WiFi,Asus,88,583
Gigabyte Z790 Aorus Elite,Gigabyte,61,580
Asus ROG Strix Z790-E Gaming WiFi II,Asus,88,575
Asus ProArt X870E-Creator WiFi,Asus,89,572
Gigabyte Z790 Aorus Master X,Gigabyte,87,566
ASRock Z890 Taichi OCF,ASRock,94,564
Asus ROG Strix Z890-F Gaming WiFi,Asus,91,555
MSI MEG Z690 Unify,MSI,84,555
Asus ProArt X670E-Creator WiFi,Asus,75,552
Biostar Z790 Valkyrie,Biostar,69,551
Asus ROG Strix X670E-I Gaming WiFi,Asus,62,549
Gigabyte X570 Aorus Pro,Gigabyte,69,548
Asus ROG Strix Z690-E Gaming WiFi,Asus,81,546
Asus ROG Strix X670E-E Gaming WiFi,Asus,81,543
Asus ROG Strix X570-E Gaming,Asus,86,542
Gigabyte Z690 Aero D,Gigabyte,91,539
Gigabyte Aorus X670E Master,Gigabyte,80,538
Gigabyte X399 Aorus Xtreme,Gigabyte,79,537
Asus ROG Strix X670E-F Gaming WiFi,Asus,86,537
Asus ROG Strix Z790-A Gaming WiFi II,Asus,81,535
MSI MPG X870E Carbon WiFi,MSI,90,534
ASRock Z890 Taichi,ASRock,93,532
MSI MPG Z790 Carbon WiFi II,MSI,85,529
Asus ROG Strix Z790-F Gaming WiFi II,Asus,82,529
Asus ROG Strix Z790-E Gaming WiFi,Asus,84,527
Gigabyte B850 AI Top,Gigabyte,78,527
Gigabyte Z790 Aorus Master,Gigabyte,85,522
MSI MPG Z790 Carbon Max WiFi II,MSI,80,521
Gigabyte Z690 Aorus Master,Gigabyte,88,520
MSI MPG X670E Carbon WiFi,MSI,81,519
Asus ROG Strix X870-I Gaming WiFi,Asus,72,519
Asus ROG Strix X870-F Gaming WiFi,Asus,89,513
Maxsun iCraft Z690 WiFi,Maxsun,74,513
Asus ROG Strix Z890-A Gaming WiFi,Asus,88,511
Asus Prime Z690-A,Asus,68,510
ASRock X870E Taichi Lite,ASRock,86,507
Gigabyte X299X Aorus Master,Gigabyte,80,505
Gigabyte Z690I Aorus Ultra DDR4,Gigabyte,63,503
EVGA Z590 Dark,EVGA,76,502
Gigabyte Aorus B650E Master,Gigabyte,82,501
MSI MPG Z890 Edge Ti WiFi,MSI,90,495
MSI MEG X570S Unify-X Max,MSI,72,491
Asus ROG Strix Z790-I Gaming WiFi,Asus,67,491
MSI MPG Z690 Edge WiFi,MSI,84,490
Asus ROG Crosshair VIII Dark Hero,Asus,76,487
Asus ROG Strix Z790-F Gaming WiFi,Asus,85,486
Gigabyte Aorus Z370 Gaming 3,Gigabyte,52,484
MSI MEG Z690I Unify,MSI,69,483
ASRock Z690 PG Velocita,ASRock,82,480
MSI MPG Z790 Carbon WiFi,MSI,82,474
Asus ROG Strix X870-A Gaming WiFi,Asus,89,472
Gigabyte Z890 Aorus Pro Ice,Gigabyte,84,471
Asus TUF Gaming X570-Plus,Asus,61,467
MSI MEG X570S Ace Max,MSI,78,467
ASRock X570 Taichi Razer Edition,ASRock,76,461
Gigabyte Z790 Aorus Pro X,Gigabyte,79,455
MSI Pro Z690-A,MSI,58,454
Asus ROG Strix X670E-A Gaming WiFi,Asus,84,453
Asus ROG Strix Z690-A Gaming WiFi D4,Asus,77,452
Asus TUF X470-Plus Gaming,Asus,50,450
ASRock B650E Taichi,ASRock,75,449
MSI MAG Z390 Tomahawk,MSI,53,449
Asus TUF Gaming Z890-Pro WiFi,Asus,89,447
ASRock Z890 Taichi Lite,ASRock,93,447
ASRock X870E Nova WiFi,ASRock,88,446
Asus ROG Strix B650E-E Gaming WiFi,Asus,86,442
MSI MPG Z690 Force WiFi,MSI,79,442
Gigabyte Z490I Aorus Ultra,Gigabyte,64,441
Asus ROG Strix Z790-A Gaming WiFi,Asus,83,437
Gigabyte Z890 Aorus Elite X Ice,Gigabyte,84,433
ASRock Z890 Nova WiFi,ASRock,95,431
Biostar Z690GTA,Biostar,62,428
Asus ROG Strix B850-E Gaming WiFi,Asus,89,428
Asus TUF B450M-Plus Gaming,Asus,49,427
MSI MPG Z790 Edge Ti Max WiFi,MSI,88,427
ASRock B650E Taichi Lite,ASRock,82,424
ASRock Z690 Taichi,ASRock,82,423
MSI MEG X570 Ace,MSI,76,419
Asus Prime X470-Pro,Asus,53,418
Asus ROG Strix X570-E Gaming WiFi II,Asus,80,417
Gigabyte X870E Aorus Pro,Gigabyte,88,414
MSI MPG Z790I Edge WiFi,MSI,73,407
Asus ROG Strix Z690-A Gaming WiFi,Asus,87,407
Gigabyte Z890 Aero G,Gigabyte,82,406
Asus ROG Strix Z690-I Gaming WiFi,Asus,76,401
MSI Pro Z790-P DDR4,MSI,60,399
MSI MAG Z690 Tomahawk WiFi DDR4,MSI,72,397
Asus TUF Gaming Z890-Plus WiFi,Asus,86,397
MSI MPG Z690 Carbon WiFi,MSI,79,396
Asus ROG Strix B660-A Gaming WiFi D4,Asus,71,396
Gigabyte Aorus B650 Elite,Gigabyte,58,394
MSI MPG Z790 Edge WiFi DDR4,MSI,81,391
Asus Prime Z390-A,Asus,57,389
MSI MPG B650 Carbon WiFi,MSI,81,388
Gigabyte X670E Aorus Pro X,Gigabyte,74,388
ASRock Z790 PG-ITX/TB4,ASRock,77,387
ASRock Z890I Nova WiFi,ASRock,78,385
MSI MPG X570S Edge Max WiFi,MSI,78,384
Asus ROG Strix Z590-E Gaming WiFi,Asus,84,384
Asus TUF Gaming X870-Plus WiFi,Asus,78,384
MSI MEG X570 Unify,MSI,70,380
Asus TUF Gaming Z790-BTF WiFi,Asus,84,380
MSI MEG B550 Unify-X,MSI,69,380
Gigabyte Z690 Aorus Pro DDR4,Gigabyte,74,379
ASRock Z490M-ITX/AC,ASRock,53,379
Asus ROG Strix Z790-A Gaming WiFi D4,Asus,76,379
ASRock Z890 Steel Legend WiFi,ASRock,90,379
MSI MEG Z490 Ace,MSI,68,377
Gigabyte X870E Aorus Elite WiFi7,Gigabyte,83,377
Gigabyte Aorus B650 Pro AX,Gigabyte,75,375
Asus TUF Gaming X670E-Plus,Asus,63,374
Asus ROG Strix B650E-I Gaming WiFi,Asus,68,374
Asus ROG Strix B850-F Gaming WiFi,Asus,83,371
ASRock Z790 Nova WiFi,ASRock,84,371
Gigabyte Z890 Aorus Elite WiFi7,Gigabyte,79,370
Asus Prime X670E-Pro WiFi,Asus,76,369
ASRock X570 Taichi,ASRock,72,368
NZXT N7 Z590,NZXT,70,366
MSI Pro Z890-A WiFi,MSI,85,365
Gigabyte Z890 Aorus Elite WiFi7 Ice,Gigabyte,80,361
NZXT N7 Z790,NZXT,71,359
Gigabyte Z790 Aero G,Gigabyte,76,358
NZXT N7 B650E,NZXT,74,358
MSI MEG B550 Unify,MSI,70,357
Asus ROG Strix B850-I Gaming WiFi,Asus,78,357
Asus Prime Z390-P,Asus,44,357
ASRock X870 Riptide WiFi,ASRock,80,356
ASRock B550 Taichi Razer Edition,ASRock,73,356
MSI MPG Z790 Edge WiFi,MSI,89,353
Gigabyte Z790 Aorus Pro X WiFi7,Gigabyte,80,352
MSI MAG X870 Tomahawk WiFi,MSI,90,351
ASRock Z890 Riptide WiFi,ASRock,87,351
Gigabyte X870 Aorus Elite WiFi7 Ice,Gigabyte,83,351
Gigabyte Z790I Aorus Ultra,Gigabyte,60,351
Gigabyte Z890M Aorus Elite WiFi7,Gigabyte,75,350
MSI MAG Z890 Tomahawk WiFi,MSI,89,349
MSI MAG X570S Tomahawk Max WiFi,MSI,66,349
Asus Prime Z790-A WiFi,Asus,76,349
ASRock X670E Steel Legend,ASRock,76,349
MSI MPG B850 Edge Ti WiFi,MSI,85,347
Asus ROG Strix Z790-H Gaming WiFi,Asus,80,346
Asus ROG Strix X570-F Gaming,Asus,66,342
Asus ROG Strix X570-I Gaming,Asus,59,341
MSI MAG Z790 Tomahawk Max WiFi,MSI,87,340
Gigabyte X570 Aorus Elite,Gigabyte,59,339
Gigabyte B650M Aorus Elite,Gigabyte,61,338
Gigabyte X670 Gaming X AX,Gigabyte,72,338
ASRock Z890 Lightning WiFi,ASRock,88,337
MSI MPG B550I Gaming Edge Max WiFi,MSI,61,337
Gigabyte Z590 Aorus Master,Gigabyte,81,336
Gigabyte B850I Aorus Pro,Gigabyte,67,336
MSI Pro Z790-A WiFi DDR4,MSI,75,335
ASRock Z890M Riptide WiFi,ASRock,81,335
Asus ProArt B650-Creator,Asus,59,334
ASRock X670E Pro RS,ASRock,71,332
Gigabyte Aorus X670 Elite AX,Gigabyte,73,332
Gigabyte Z590I Vision D,Gigabyte,65,331
Asus ROG Strix B450-F Gaming,Asus,57,331
Gigabyte X299 UD4 Pro,Gigabyte,59,330
Asus ROG Strix B860-F Gaming WiFi,Asus,87,329
Gigabyte Z690 Aero G,Gigabyte,85,328
MSI MAG X670E Tomahawk WiFi,MSI,82,326
Asus ROG Strix B650E-F Gaming WiFi,Asus,74,326
Asus TUF Gaming Z790-Pro WiFi,Asus,78,326
Asus ROG Strix B850-A Gaming WiFi,Asus,86,326
Gigabyte X570S Aorus Pro AX,Gigabyte,77,325
Gigabyte B650E Aorus Stealth Ice,Gigabyte,72,325
MSI Z890 Gaming Plus WiFi,MSI,80,325
Gigabyte Z690 Aorus Elite DDR4,Gigabyte,63,325
Asus TUF Gaming X570-Pro WiFi II,Asus,72,324
Gigabyte Z790 Aorus Elite AX Ice,Gigabyte,74,324
MSI Pro X870-P WiFi,MSI,78,323
Asus Prime X870-P,Asus,69,321
MSI X670E Gaming Plus WiFi,MSI,78,320
ASRock B650E PG-ITX WiFi,ASRock,59,318
Asus ROG Strix B860-A Gaming WiFi,Asus,81,317
ASRock X870 Steel Legend WiFi,ASRock,83,316
MSI MAG Z690 Tomahawk WiFi,MSI,73,315
Asus Prime Z890-P,Asus,66,315
ASRock B860I Lightning WiFi,ASRock,74,314
ASRock Z790 Riptide WiFi,ASRock,78,312
MSI Pro Z790-A Max WiFi,MSI,81,311
Gigabyte Z690 Gaming X DDR4,Gigabyte,60,310
MSI Pro Z890-S WiFi,MSI,78,309
ASRock X670E PG Lightning,ASRock,60,309
Asus ROG Strix B860-G Gaming WiFi,Asus,85,308
Asus TUF Gaming Z790-Plus D4,Asus,68,307
Gigabyte B550 Vision D-P,Gigabyte,77,307
Asus TUF Gaming X570-Pro WiFi,Asus,66,306
Gigabyte X870 Gaming X WiFi7,Gigabyte,75,306
ASRock B850 Steel Legend WiFi,ASRock,79,305
Asus Prime X670-P,Asus,60,304
MSI MPG Z590 Gaming Plus,MSI,64,304
Asus Prime Z890M-Plus WiFi,Asus,77,304
Biostar B650M-Silver,Biostar,54,304
Gigabyte Aorus B650I Ultra,Gigabyte,64,304
MSI MAG Z790 Tomahawk WiFi,MSI,82,304
Asus ROG Strix B550-XE Gaming WiFi,Asus,71,304
MSI Z790 Project Zero,MSI,81,302
MSI MPG B650 Edge WiFi,MSI,76,302
Asus ROG Strix B760-A Gaming WiFi,Asus,70,301
ASRock Z790 Steel Legend WiFi,ASRock,75,299
ASRock Z890 LiveMixer WiFi,ASRock,89,298
MSI MAG B850 Tomahawk Max WiFi,MSI,85,298
Gigabyte Z690 UD,Gigabyte,64,298
MSI MAG B860 Tomahawk WiFi,MSI,88,297
Asus ROG Strix Z590-F Gaming WiFi,Asus,76,296
MSI MPG B760M Edge TI WiFi,MSI,77,296
Gigabyte Z790 Aorus Elite AX-W,Gigabyte,74,296
MSI MAG B660 Tomahawk WiFi DDR4,MSI,66,295
MSI X570-A Pro,MSI,55,295
Asus ProArt B550-Creator,Asus,67,293
ASRock Z790I Lightning WiFi,ASRock,63,293
Gigabyte X570S Aorus Elite,Gigabyte,70,292
Gigabyte Z490 Gaming X,Gigabyte,54,292
ASRock Z590 PG Velocita,ASRock,75,292
ASRock B650E Steel Legend WiFi,ASRock,67,292
MSI MPG B650I Edge WiFi,MSI,70,291
Gigabyte B650 Aero G,Gigabyte,76,291
Gigabyte B550 Gaming X,Gigabyte,52,291
Asus ROG Strix B860-I Gaming WiFi,Asus,82,290
Gigabyte X570S UD,Gigabyte,60,290
Gigabyte Z790 Gaming X,Gigabyte,63,289
Asus ROG Strix B760-F Gaming WiFi,Asus,76,289
Gigabyte B650M Aorus Elite AX Ice,Gigabyte,71,289
Gigabyte Z490 UD,Gigabyte,50,288
Asus Prime H610M-A D4,Asus,37,288
Asus TUF Gaming B850-Plus WiFi,Asus,80,288
MSI Pro X670-P WiFi,MSI,80,288
Asus TUF Gaming Z690-Plus,Asus,66,288
Asus TUF Gaming Z790-Plus WiFi,Asus,77,287
MSI Z790 Gaming Pro WiFi,MSI,75,287
MSI Pro Z890-P WiFi,MSI,80,285
Gigabyte B850 Aorus Elite WiFi7,Gigabyte,75,285
Gigabyte Z590 UD,Gigabyte,53,285
Gigabyte Z890 Eagle WiFi7,Gigabyte,75,285
MSI Pro Z790-A WiFi,MSI,79,284
ASRock Z890 Pro RS,ASRock,75,282
Gigabyte B760M D3H DDR4,Gigabyte,50,282
ASRock B850 Riptide WiFi,ASRock,80,282
Asus ROG Strix B660-I Gaming WiFi,Asus,64,281
MSI MAG X570S Torpedo Max,MSI,58,281
Biostar B660GTA,Biostar,60,280
ASRock B860M Lightning WiFi,ASRock,83,280
MSI MAG B660 Tomahawk WiFi,MSI,70,280
Asus TUF Gaming B860-Plus WiFi,Asus,80,280
Asus TUF Gaming B660M-E D4,Asus,46,280
Biostar B760A-Silver,Biostar,55,279
Asus TUF Gaming B850M-Plus,Asus,67,277
Gigabyte X870 Eagle WiFi7,Gigabyte,75,277
ASRock Z790 PG Riptide,ASRock,61,276
ASRock B650 LiveMixer,ASRock,60,275
ASRock Z690 Extreme,ASRock,65,275
Gigabyte Z890M Aorus Elite WiFi7 Ice,Gigabyte,75,275
ASRock Z790M-ITX WiFi,ASRock,65,275
MSI B760M Project Zero,MSI,70,275
Gigabyte B760 Aorus Master DDR4,Gigabyte,63,275
ASRock Z790 PG Sonic,ASRock,62,274
Asus TUF Gaming B760M-BTF WiFi,Asus,70,274
Asus Prime Z690-P WiFi D4,Asus,69,274
ASRock Z790 Pro RS WiFi,ASRock,71,274
Biostar B760M-Silver,Biostar,55,272
ASRock B860 Steel Legend WiFi,ASRock,86,272
ASRock B850I Lightning WiFi,ASRock,65,272
ASRock B650E PG Riptide WiFi,ASRock,70,272
Asus ROG Strix B650-A Gaming WiFi,Asus,69,272
Gigabyte B650E Aorus Elite X AX Ice,Gigabyte,69,272
MSI MAG B760 Tomahawk WiFi,MSI,71,271
Gigabyte Z790 Aorus Elite DDR4,Gigabyte,56,271
ASRock B860 Lightning WiFi,ASRock,87,269
ASRock B650 Steel Legend WiFi,ASRock,75,269
Asus ROG Strix B660-G Gaming WiFi,Asus,61,268
Asus ProArt B760-Creator,Asus,59,268
Maxsun Terminator Z690 D4,Maxsun,51,268
MSI MPG B550 Gaming Edge Wi-Fi,MSI,70,267
ASRock Z690 Steel Legend,ASRock,62,267
Asus ROG Strix B760-G Gaming WiFi,Asus,67,265
Gigabyte B860 Aorus Elite WiFi7 Ice,Gigabyte,81,264
Asus ROG Strix B760-A Gaming WiFi D4,Asus,65,264
Asus Prime Z790M-Plus,Asus,64,264
Asus ROG Strix B760-G Gaming WiFi D4,Asus,64,263
Asus TUF Gaming H670-Pro WiFi D4,Asus,67,263
Gigabyte Aorus X570SI Pro AX,Gigabyte,70,263
Asus ROG Strix B660-F Gaming WiFi,Asus,72,262
ASRock B850 LiveMixer WiFi,ASRock,81,262
Asus TUF Gaming B860M-Plus,Asus,68,262
MSI MAG B660M Mortar Max WiFi DDR4,MSI,65,262
MSI MPG Z490 Gaming Carbon WiFi,MSI,67,261
Asus ProArt B760-Creator D4,Asus,55,261
Biostar Z490T-Silver,Biostar,36,261
MSI MPG B760I Edge WiFi,MSI,60,260
Asus TUF Gaming H770-Pro WiFi,Asus,68,259
MSI MAG B650 Tomahawk WiFi,MSI,74,259
ASRock B860 LiveMixer WiFi,ASRock,84,259
ASRock Z790 LiveMixer,ASRock,67,258
ASRock B650I Lightning WiFi,ASRock,57,255
Gigabyte B650 Gaming X,Gigabyte,58,254
ASRock Z690 Pro RS,ASRock,60,254
MSI MPG B550 Gaming Carbon Wi-Fi,MSI,71,253
ASRock Z790 Pro RS/D4,ASRock,58,253
MSI Z790 Gaming Plus WiFi,MSI,76,253
Asus Prime B660M-A D4,Asus,53,253
Gigabyte B450 I Aorus Pro Wi-Fi,Gigabyte,56,253
ASRock B860M Steel Legend WiFi,ASRock,83,253
Asus Prime B860M-A,Asus,67,252
NZXT N5 Z690,NZXT,61,251
NZXT N7 B550,NZXT,78,251
Asus Prime H670-Plus D4,Asus,56,251
Biostar B660GTN,Biostar,39,251
Gigabyte B850M Aorus Elite WiFi6E Ice,Gigabyte,74,250
MSI H310M Pro-VDH Plus,MSI,31,250
Gigabyte B860 Gaming X WiFi6E,Gigabyte,77,249
Asus Prime Z790-P D4,Asus,63,249
Asus Prime Z790-P,Asus,67,249
MSI B860 Gaming Plus WiFi,MSI,86,249
Asus TUF Gaming B760M-Plus II,Asus,60,248
Asus TUF Gaming B760-Plus WiFi D4,Asus,62,248
ASRock B650 Pro RS,ASRock,56,248
Gigabyte B760 Aorus Elite,Gigabyte,55,247
Gigabyte B850 Gaming X WiFi6E,Gigabyte,74,247
MSI MPG B760I Edge WiFi DDR4,MSI,58,246
MSI B650M Project Zero,MSI,72,246
MSI Pro B650-P WiFi,MSI,74,244
ASRock Z790 Pro RS,ASRock,61,243
Biostar Z790A-Silver,Biostar,61,241
Gigabyte Z790 D DDR4,Gigabyte,54,241
MSI B850 Gaming Plus WiFi,MSI,78,241
Asus ROG Strix B560-F Gaming WiFi,Asus,68,240
ASRock Z890 Pro-A,ASRock,72,240
MSI Pro B850-P WiFi,MSI,79,240
ASRock X870 Pro RS,ASRock,67,239
ASRock Z690 Phantom Gaming 4,ASRock,50,239
MSI MAG B760 Tomahawk WiFi DDR4,MSI,67,238
ASRock Z790 Lightning WiFi,ASRock,71,238
Asus TUF Gaming B650M-Plus,Asus,58,238
Gigabyte Z790 UD,Gigabyte,61,238
ASRock B760I Lightning WiFi,ASRock,61,237
Asus TUF Gaming B760M-BTF WiFi D4,Asus,66,236
ASRock X570 Steel Legend,ASRock,63,236
Asus TUF Gaming B760M-Plus,Asus,57,236
Gigabyte Z890M Gaming X,Gigabyte,61,234
Asus Prime H770-Plus,Asus,61,234
Gigabyte B850 Eagle WiFi6E,Gigabyte,72,234
MSI Pro Z690-A DDR4,MSI,55,233
ASRock X570S PG Riptide,ASRock,61,233
ASRock Z690M Phantom Gaming 4,ASRock,53,233
MSI MPG B560I Gaming Edge WiFi,MSI,52,232
Gigabyte B650 Aorus Elite AX Ice,Gigabyte,71,232
Asus Prime B760M-A,Asus,54,232
Gigabyte B850M Gaming X WiFi6E,Gigabyte,75,231
Asus TUF Gaming B760M-Plus WiFi,Asus,67,231
Asus Prime B365-Plus,Asus,45,230
Gigabyte B760I Aorus Pro DDR4,Gigabyte,55,229
MSI MAG B760M Mortar WiFi II,MSI,71,229
MSI Pro B760-P WiFi,MSI,69,228
ASRock Z790 PG Lightning,ASRock,59,228
Gigabyte B550 Aorus Elite,Gigabyte,57,227
Gigabyte X570S Gaming X,Gigabyte,62,226
Asus ROG Strix B760-I Gaming WiFi,Asus,66,226
Asus TUF Gaming B650-Plus,Asus,60,226
Asus Prime B840-Plus WiFi,Asus,77,225
Biostar B550T-Silver,Biostar,40,225
MSI Pro B860-P,MSI,74,225
MSI B860M Gaming Plus WiFi,MSI,85,224
MSI Pro B860M-A WiFi,MSI,85,224
Gigabyte Z590 Aorus Elite,Gigabyte,63,223
Gigabyte B760 Gaming X,Gigabyte,54,223
Asus Prime H610M-E D4,Asus,35,223
Asus ROG Rampage VI Extreme Omega,Asus,77,222
Gigabyte B650I AX,Gigabyte,56,221
MSI Pro Z790-VC WiFi,MSI,71,221
Asus TUF Gaming B660M-Plus D4,Asus,51,221
Gigabyte GA-A320MA-M.2,Gigabyte,36,220
Biostar B660GTQ,Biostar,53,220
ASRock B850M Steel Legend WiFi,ASRock,76,220
Gigabyte Z790 D,Gigabyte,61,220
Asus Prime B650M-A II,Asus,55,220
Asus TUF Gaming B650M-E,Asus,56,219
Gigabyte B650 UD AX,Gigabyte,68,219
Asus ROG Strix B550-F Gaming,Asus,62,219
Asus EX-B760M-V5,Asus,43,219
Asus Prime B650M-A,Asus,56,219
Asus Prime B650M-A AX,Asus,65,219
ASRock B650 PG Lightning,ASRock,58,216
Gigabyte B850 Gaming WiFi6,Gigabyte,71,216
Asus TUF Gaming B760-Plus WiFi,Asus,68,214
ASRock Z790 PG Lightning/D4,ASRock,55,214
Asus Prime B650-Plus,Asus,62,214
MSI Pro B550-VC,MSI,56,213
Asus Prime B650M-A AX II,Asus,68,213
ASRock B850 Pro RS,ASRock,62,211
ASRock Z690M-ITX/ax,ASRock,59,211
MSI MAG B660M Mortar,MSI,56,211
Gigabyte B860 DS3H,Gigabyte,64,211
MSI MPG X570 Gaming Plus,MSI,55,209
Asus TUF Gaming B560-Plus WiFi,Asus,66,209
ASRock X570 Pro4,ASRock,52,209
Asus TUF Gaming B550-Plus WiFi II,Asus,64,209
ASRock B860M LiveMixer WiFi,ASRock,84,209
MSI Pro Z690-P DDR4,MSI,54,209
Gigabyte B650M Gaming X AX,Gigabyte,68,209
Gigabyte X570 Gaming X,Gigabyte,50,207
MSI MAG B550M Mortar Max WiFi,MSI,64,207
MSI Pro B760-VC WiFi IV,MSI,63,207
Gigabyte Aorus B550M Pro-P,Gigabyte,56,207
Gigabyte B550M S2H,Gigabyte,44,206
Asus Prime B660-Plus D4,Asus,50,206
ASRock Z790M PG Lightning/D4,ASRock,50,205
Asus Prime H770-Plus D4,Asus,53,204
MSI B650 Gaming Plus WiFi,MSI,69,204
Asus TUF Gaming B450M-Pro S,Asus,56,204
MSI MAG B550 Tomahawk Max WiFi,MSI,75,204
Asus TUF Gaming B660-Plus WiFi D4,Asus,62,203
Asus TUF Gaming B550M-Plus WiFi II,Asus,63,203
ASRock B850 Pro-A,ASRock,60,202
Gigabyte Z790M Aorus Elite AX Ice,Gigabyte,78,202
Asus ROG Strix B550-F Gaming WiFi II,Asus,77,200
ASRock Z97 Pro4,ASRock,47,199
Asus TUF Gaming B450M-Plus II,Asus,52,198
Asus TUF Z590-Plus Gaming,Asus,57,198
