CPU Name,Brand,Capacity,Benchmark Score,Price
Crucial T705 2TB,Crucial,2TB,13013,278
MSI SPATIUM M580 FROZR 2TB,MSI,2TB,12940,328
Lexar Professional NM1090 2TB,Lexar,2TB,12571,376
Seagate FireCuda 540 2TB,Seagate,2TB,12279,375
MSI SPATIUM M570 2TB,MSI,2TB,12251,338
Corsair MP700 2TB,Corsair,2TB,12231,492
Gigabyte Aorus Gen5 14000 2TB,Gigabyte,2TB,12224,286
Gigabyte Aorus Gen5 14000 1TB,Gigabyte,1TB,11938,208
PNY XLR8 CS3150 1TB,PNY,1TB,11930,126
Seagate FireCuda 540 1TB,Seagate,1TB,11921,168
Corsair MP700 1TB,Corsair,1TB,11793,147
MSI SPATIUM M570 Pro FROZR 2TB,MSI,2TB,11324,287
Crucial T700 2TB,Crucial,2TB,10081,226
Crucial T700 1TB,Crucial,1TB,9655,135
fanxiang S900 2TB,fanxiang,2TB,9627,300
Samsung 990 PRO 2TB,Samsung,2TB,9398,180
SK hynix Platinum P41 2TB,SK,2TB,9326,154
fanxiang S900 1TB,fanxiang,1TB,9316,190
Intel Solidigm P44 Pro 1TB,Intel,1TB,9191,149
SK hynix Platinum P41 1TB,SK,1TB,9177,98
Intel Solidigm P44 Pro 2TB,Intel,2TB,9161,220
Crucial T500 2TB,Crucial,2TB,9093,150
Corsair MP700 (@Gen4) 1TB,Corsair,1TB,9020,147
Lexar Professional NM800 Pro 2TB,Lexar,2TB,8824,204
Crucial T500 1TB,Crucial,1TB,8755,86
Western Digital WD_BLACK SN850X 2TB,Western,2TB,8735,149
ADATA XPG Gammix S70 Blade 2TB,ADATA,2TB,8706,164
MSI SPATIUM M480 PRO 2TB,MSI,2TB,8671,155
Gigabyte Aorus 7000s 2TB,Gigabyte,2TB,8653,182
Patriot Viper VP4300 2TB,Patriot,2TB,8641,166
Seagate FireCuda 530 2TB,Seagate,2TB,8626,190
TeamGroup T-Force Cardea A440 Pro 2TB,TeamGroup,2TB,8617,432
Western Digital WD_BLACK SN850 1TB,Western,1TB,8590,128
Intel Solidigm P44 Pro 512GB,Intel,512GB,8575,142
Seagate Game Drive PS5 2TB,Seagate,2TB,8549,183
Samsung 990 PRO 1TB,Samsung,1TB,8521,106
Kingston FURY RENEGADE 2TB,Kingston,2TB,8473,139
Kingston KC3000 2TB,Kingston,2TB,8460,136
Sabrent Rocket 4 Plus 2TB,Sabrent,2TB,8415,245
ADATA LEGEND 960 2TB,ADATA,2TB,8408,160
Samsung 980 PRO 2TB,Samsung,2TB,8391,170
fanxiang S770 2TB,fanxiang,2TB,8370,138
Verbatim Vi7000G 2TB,Verbatim,2TB,8344,139
Lexar Professional NM800 Pro 1TB,Lexar,1TB,8325,137
Gigabyte Aorus Gen4 7300 2TB,Gigabyte,2TB,8301,165
Seagate FireCuda 530 1TB,Seagate,1TB,8155,79
Corsair MP600 PRO 2TB,Corsair,2TB,8145,263
Silicon Power XPOWER XS70 2TB,Silicon,2TB,8139,179
Corsair MP600 PRO XT 2TB,Corsair,2TB,8127,187
ADATA LEGEND 960 1TB,ADATA,1TB,8122,94
Western Digital WD_BLACK SN850X 1TB,Western,1TB,8113,84
Crucial T500 500GB,Crucial,500GB,8094,69
Mushkin Vortex Redline 2TB,Mushkin,2TB,8090,200
Samsung 980 PRO 500GB,Samsung,500GB,8051,135
Kingston FURY RENEGADE 1TB,Kingston,1TB,8020,82
Crucial P5 Plus 2TB,Crucial,2TB,7987,145
KingSpec XG7000 2TB,KingSpec,2TB,7981,129
Samsung 980 PRO 1TB,Samsung,1TB,7974,100
Netac NV7000 2TB,Netac,2TB,7968,170
ADATA XPG Gammix S70 Blade 1TB,ADATA,1TB,7934,97
Western Digital WD_BLACK SN850 2TB,Western,2TB,7911,300
Kingston KC3000 1TB,Kingston,1TB,7840,86
Crucial P310 2TB,Crucial,2TB,7681,113
MSI SPATIUM M480 1TB,MSI,1TB,7665,171
TeamGroup T-Force Cardea A440 Pro 1TB,TeamGroup,1TB,7590,188
Crucial P5 Plus 1TB,Crucial,1TB,7574,192
Corsair MP600 PRO XT 1TB,Corsair,1TB,7569,104
Western Digital WD_BLACK SN850 500GB,Western,500GB,7555,96
Lexar EQ790 1TB,Lexar,1TB,7540,70
Patriot Viper VP4100 1TB,Patriot,1TB,7536,202
PNY XLR8 CS3040 1TB,PNY,1TB,7510,523
Hikvision G4000 1TB,Hikvision,1TB,7454,79
PNY XLR8 CS3140 1TB,PNY,1TB,7429,86
KIOXIA EXCERIA PRO 2TB,KIOXIA,2TB,7405,153
Gigabyte Aorus 7000s 1TB,Gigabyte,1TB,7385,105
Corsair MP600 2TB,Corsair,2TB,7375,163
Corsair MP600 ELITE 1TB,Corsair,1TB,7332,90
fanxiang S880 1TB,fanxiang,1TB,7326,84
Kingston NV3 2TB,Kingston,2TB,7299,114
Crucial P310 1TB,Crucial,1TB,7273,70
Kingston NV3 1TB,Kingston,1TB,7248,54
Patriot Viper VP4300 Lite 1TB,Patriot,1TB,7239,72
TeamGroup MP44L 1TB,TeamGroup,1TB,7238,78
Seagate FireCuda 520 2TB,Seagate,2TB,7228,237
Netac NV7000 1TB,Netac,1TB,7221,106
KIOXIA EXCERIA PRO 1TB,KIOXIA,1TB,7211,93
Gigabyte Aorus NVMe Gen4 1TB,Gigabyte,1TB,7209,208
Verbatim Vi7000G 1TB,Verbatim,1TB,7202,69
Transcend MTE250S 2TB,Transcend,2TB,7183,161
Lexar NQ790 1TB,Lexar,1TB,7169,85
Seagate FireCuda 520 1TB,Seagate,1TB,7161,395
TeamGroup MP44 2TB,TeamGroup,2TB,7150,139
TeamGroup MP44 1TB,TeamGroup,1TB,7137,69
fanxiang S880 2TB,fanxiang,2TB,7123,129
fanxiang S770 1TB,fanxiang,1TB,7100,72
Gigabyte Aorus NVMe Gen4 2TB,Gigabyte,2TB,7093,143
Fikwot FN960 1TB,Fikwot,1TB,7053,77
Fikwot FX991 1TB,Fikwot,1TB,7046,80
Lexar NM790 1TB,Lexar,1TB,7029,96
Corsair MP600 1TB,Corsair,1TB,7019,102
Sabrent Rocket 4 Plus 1TB,Sabrent,1TB,7018,246
Patriot Viper VP4300 Lite 2TB,Patriot,2TB,7009,119
Corsair MP600 PRO 1TB,Corsair,1TB,7000,112
fanxiang S880E 1TB,fanxiang,1TB,6976,73
Goodram IRDM 1TB,Goodram,1TB,6957,201
Fikwot FN955 1TB,Fikwot,1TB,6947,80
Lexar NM790 2TB,Lexar,2TB,6943,135
Intenso MI500 1TB,Intenso,1TB,6855,56
Lexar NM760 1TB,Lexar,1TB,6835,105
ADATA XPG Gammix S70 2TB,ADATA,2TB,6832,173
Sabrent Rocket NVMe 4.0 1TB,Sabrent,1TB,6804,172
ORICO O7000 2TB,ORICO,2TB,6802,110
Samsung 990 EVO 2TB,Samsung,2TB,6779,144
Seagate FireCuda 530 500GB,Seagate,500GB,6772,55
Lexar NM790 512GB,Lexar,512GB,6757,56
Lexar Professional NM800 Pro 512GB,Lexar,512GB,6727,107
TeamGroup T-Force Cardea Zero Z440 1TB,TeamGroup,1TB,6707,109
KIOXIA EXCERIA PLUS G3 1TB,KIOXIA,1TB,6695,69
Samsung 970 EVO Plus 1TB,Samsung,1TB,6642,101
Fikwot FX991 2TB,Fikwot,2TB,6622,130
Crucial P310 500GB,Crucial,500GB,6602,44
Kingston KC3000 512GB,Kingston,512GB,6570,55
SK hynix Gold P31 2TB,SK,2TB,6564,145
Kingston FURY RENEGADE 500GB,Kingston,500GB,6561,55
Samsung 980 PRO 250GB,Samsung,250GB,6542,68
Samsung 990 EVO 1TB,Samsung,1TB,6531,91
Samsung 970 EVO Plus 2TB,Samsung,2TB,6519,185
PNY XLR8 CS3040 2TB,PNY,2TB,6510,208
KIOXIA EXCERIA PLUS G2 500GB,KIOXIA,500GB,6506,64
PNY XLR8 CS3030 1TB,PNY,1TB,6456,157
Fikwot FN960 2TB,Fikwot,2TB,6421,126
Intenso MI500 2TB,Intenso,2TB,6416,112
Fikwot FN955 2TB,Fikwot,2TB,6414,125
Sabrent Rocket 4 Plus 500GB,Sabrent,500GB,6410,78
Integral UltimaPro X 1.88TB,Integral,1.88TB,6408,335
GOODRAM PX600 2TB,GOODRAM,2TB,6385,128
Sabrent Rocket NVMe 1TB,Sabrent,1TB,6381,75
Fikwot FN950 2TB,Fikwot,2TB,6373,107
Silicon Power UD90 2TB,Silicon,2TB,6371,125
fanxiang S660 2TB,fanxiang,2TB,6329,114
Integral M3 Plus 2TB,Integral,2TB,6316,118
Crucial P5 Plus 500GB,Crucial,500GB,6293,50
MSI SPATIUM M461 1TB,MSI,1TB,6268,116
Lexar NM710 2TB,Lexar,2TB,6266,150
KIOXIA EXCERIA PLUS G3 2TB,KIOXIA,2TB,6251,123
Patriot Viper VP4300 1TB,Patriot,1TB,6218,105
GOODRAM PX600 1TB,GOODRAM,1TB,6208,76
Kingston NV3 500GB,Kingston,500GB,6202,38
TeamGroup MP44L 2TB,TeamGroup,2TB,6196,120
Crucial P3 500GB,Crucial,500GB,6189,39
Patriot Viper VP4300 Lite 500GB,Patriot,500GB,6176,42
Netac NV5000-t 2TB,Netac,2TB,6162,117
PNY XLR8 CS3030 2TB,PNY,2TB,6151,253
MSI SPATIUM M461 2TB,MSI,2TB,6146,165
Silicon Power XPOWER XD80 1TB,Silicon,1TB,6061,79
Samsung 970 EVO Plus 500GB,Samsung,500GB,6012,126
Samsung 970 PRO 1TB,Samsung,1TB,5958,285
ADATA XPG Gammix S70 Blade 512GB,ADATA,512GB,5924,57
Samsung 970 EVO 1TB,Samsung,1TB,5879,77
Lexar NQ710 2TB,Lexar,2TB,5782,120
Corsair MP400 2TB,Corsair,2TB,5773,170
Fikwot FN960 512GB,Fikwot,512GB,5751,46
Fikwot FN950 1TB,Fikwot,1TB,5688,69
Seagate FireCuda 520 500GB,Seagate,500GB,5641,138
Crucial P5 2TB,Crucial,2TB,5630,168
ADATA XPG Gammix S50 Lite 1TB,ADATA,1TB,5622,176
Patriot P300 2TB,Patriot,2TB,5619,105
Sabrent Rocket Q 2TB,Sabrent,2TB,5603,385
Sabrent Rocket NVMe 4.0 500GB,Sabrent,500GB,5595,59
Patriot Viper VPN100 2TB,Patriot,2TB,5588,154
Gigabyte Aorus Gen4 500GB,Gigabyte,500GB,5552,92
Corsair MP510 480GB,Corsair,480GB,5550,54
MSI SPATIUM M450 1TB,MSI,1TB,5502,61
Sabrent Rocket NVMe 512GB,Sabrent,512GB,5490,100
fanxiang S660 1TB,fanxiang,1TB,5400,59
Crucial P3 Plus 2TB,Crucial,2TB,5374,105
fanxiang S880E 500GB,fanxiang,500GB,5362,46
Lexar NM710 1TB,Lexar,1TB,5353,64
Samsung 970 EVO 500GB,Samsung,500GB,5333,197
Crucial P5 1TB,Crucial,1TB,5290,94
Samsung 980 1TB,Samsung,1TB,5264,93
Fikwot FX991 500GB,Fikwot,500GB,5215,50
MSI SPATIUM M390 1TB,MSI,1TB,5210,83
PNY XLR8 CS3040 500GB,PNY,500GB,5210,97
Crucial P5 500GB,Crucial,500GB,5151,98
Western Digital WD_BLACK SN750 2TB,Western,2TB,5142,427
fanxiang S690Q 2TB,fanxiang,2TB,5052,120
PNY XLR8 CS3030 500GB,PNY,500GB,4948,43
Intel Solidigm P41 Plus 2TB,Intel,2TB,4933,156
SanDisk Extreme PRO 3D 2TB,SanDisk,2TB,4928,250
Samsung 970 PRO 512GB,Samsung,512GB,4897,85
Crucial P3 2TB,Crucial,2TB,4827,110
Kingston NV2 2TB,Kingston,2TB,4769,123
Western Digital WD_BLACK SN750 1TB,Western,1TB,4725,110
Samsung 980 500GB,Samsung,500GB,4722,53
Western Digital WD_BLACK SN770 1TB,Western,1TB,4709,69
Western Digital WD Red SN700 1TB,Western,1TB,4678,99
GOODRAM PX600 500GB,GOODRAM,500GB,4617,45
Crucial P3 Plus 1TB,Crucial,1TB,4586,82
Western Digital WD_BLACK SN770 2TB,Western,2TB,4533,120
Western Digital WD Blue SN570 2TB,Western,2TB,4508,152
Mushkin Element 1TB,Mushkin,1TB,4504,60
Mushkin Tempest 1TB,Mushkin,1TB,4489,64
Corsair MP600 500GB,Corsair,500GB,4463,87
Netac NV3000 2TB,Netac,2TB,4460,116
fanxiang S500 Pro 2TB,fanxiang,2TB,4455,114
Western Digital WD Blue SN580 1TB,Western,1TB,4445,55
KIOXIA XG6 Client 1TB,KIOXIA,1TB,4431,190
Samsung 970 EVO Plus 250GB,Samsung,250GB,4428,58
Western Digital WD Blue SN580 2TB,Western,2TB,4425,105
Verbatim Vi3000 1TB,Verbatim,1TB,4360,59
Lexar NM620 2TB,Lexar,2TB,4360,103
Transcend 220S 2TB,Transcend,2TB,4355,144
Western Digital WD_BLACK SN770 500GB,Western,500GB,4352,52
Fikwot FN501 Pro 2TB,Fikwot,2TB,4342,120
TeamGroup MP33 Pro 1TB,TeamGroup,1TB,4340,52
MEGA Electronics Fastro MS200 2TB,MEGA,2TB,4332,114
KIOXIA XG6 Client 512GB,KIOXIA,512GB,4325,90
Crucial P3 1TB,Crucial,1TB,4322,65
Intenso Premium 2TB,Intenso,2TB,4308,101
fanxiang S500 Pro 1TB,fanxiang,1TB,4308,57
Fikwot FN501 Pro 1TB,Fikwot,1TB,4307,62
ADATA XPG Gammix S11 Pro 2TB,ADATA,2TB,4297,223
